# Name,pickup,dropoff,demand,request_time,wait_limit
r2,108999,110606,2,63584.0,3952.3
r3,25575,117241,1,52023.1,4506.6
r4,25997,119040,1,48739.7,4584.2
r1,25996,114886,1,48829.9,5010.4
r7,25999,118110,2,49956.9,2930.7
r9,118825,115325,2,63858.8,2883.1
r13,117241,19167,2,86208.8,6416.3
r11,118795,106931,2,69483.4,3436.3
r6,20331,108114,1,60597.9,3136.2
r12,19094,117247,2,53680.4,2771.1
r14,119378,128690,1,77107.9,6328.3
r15,115122,119354,2,85394.0,6428.1
r5,19121,119376,1,45448.9,5106.3
r8,108572,114911,2,64323.0,3187.6
r10,119350,108114,1,73232.7,2892.0
