# Name,pickup,dropoff,demand,request_time,wait_limit
r9,108571,108957,3,65719.1,2523.2
r6,118825,122269,2,62746.0,3654.6
r16,130500,106236,1,99858.6,7263.7
r15,130517,49890,1,96187.1,8213.7
r5,47173,117247,2,40595.8,4123.5
r4,25572,117244,1,51855.0,4424.7
r1,25996,118267,1,48608.6,3827.2
r10,131898,119179,1,65785.3,3002.9
r13,128985,25413,1,76935.4,5306.7
r17,118129,22037,1,93856.9,8371.1
r11,114950,120396,2,87189.6,5752.7
r3,20326,108848,1,60715.9,4354.9
r14,130497,48129,1,95789.2,8613.9
r12,126300,118472,2,85476.3,5214.6
r2,20331,110424,1,60263.1,4666.6
r7,126012,118252,3,73383.2,3023.0
r8,122021,123187,2,72561.9,2776.6
r18,108933,52329,2,89916.4,7013.9
