# Name,pickup,dropoff,demand,request_time,wait_limit
r14,113151,72083,1,33790.0,2445.6
r13,120986,178255,2,26908.1,1977.7
r12,250152,53706,2,15313.1,1137.3
r3,173811,109380,2,6696.2,1899.2
r6,174916,63102,2,11933.2,1286.1
r4,254111,62169,2,16590.7,1722.2
r15,62185,193346,2,26398.3,2301.8
r7,170670,109388,2,22932.2,1327.6
r5,178259,102666,1,9747.8,1734.7
r10,311863,62147,3,21916.2,1303.2
r8,260992,93425,1,18893.9,1071.7
r11,178251,113062,3,17395.7,1184.9
r9,260860,115118,3,21663.0,1070.5
r1,191557,121040,1,14538.5,1744.9
r2,310876,102662,2,12345.5,1787.0
