# Name,pickup,dropoff,demand,request_time,wait_limit
r18,108273,166748,1,30613.4,2787.8
r21,66128,252197,1,30002.1,2749.0
r2,219122,147695,1,13984.7,1497.2
r11,268626,84569,2,16392.2,912.7
r22,143075,183158,1,20061.6,2653.0
r6,170656,88557,2,14973.5,1397.4
r3,183158,141351,1,8759.2,1502.8
r8,281097,82866,2,15654.7,931.6
r20,73836,265392,1,21239.4,2130.1
r10,170656,163696,1,15127.0,904.4
r16,146331,192658,1,19559.9,2599.0
r7,170653,121610,2,14700.8,1215.6
r1,170654,84977,1,14756.7,1376.5
r14,143074,179641,1,21041.4,2503.3
r9,170662,82866,3,16775.0,782.9
r12,85168,170656,1,19881.4,1968.3
r4,171583,144398,1,13577.2,1483.9
r19,69038,277557,1,22594.6,2138.5
r13,199020,281123,2,17496.6,1719.6
r5,207085,144086,2,11094.0,1310.4
r15,61597,167762,1,24009.1,2174.3
r17,161097,277524,2,23941.6,2776.7
