# Name,pickup,dropoff,demand,request_time,wait_limit
r1,876,15281,2,3683.4,315.7
r11,16037,4918,2,5689.9,503.6
r5,12344,6955,2,4232.3,349.2
r15,11732,3891,2,7930.2,663.6
r9,16798,11344,1,4041.6,243.6
r13,11902,4918,1,6672.6,710.2
r7,1557,8958,2,5224.3,264.6
r6,95,3804,2,5261.0,243.6
r2,17937,6769,1,3003.9,354.5
r12,11795,2999,1,8201.1,696.0
r3,7469,6769,1,3453.8,325.5
r4,8851,6955,1,2599.0,310.5
r10,9923,16625,2,5932.9,421.3
r14,3339,7047,2,6500.9,615.8
r8,2853,9555,1,4130.4,227.8
